r	Gamma
0.06	0.23
0.06	0.24
0.06	0.25
0.06	0.26
0.06	0.27
0.06	0.28
0.06	0.29
0.06	0.3
0.06	0.31
0.06	0.32
0.06	0.33
0.06	0.34
0.06	0.35
0.06	0.36
0.06	0.37
0.06	0.38
0.06	0.39
0.06	0.4
0.06	0.41
0.06	0.42
0.06	0.43
0.06	0.44
0.06	0.45
0.06	0.46
0.06	0.47
0.06	0.48
0.06	0.49
0.06	0.5
0.06	0.51
0.06	0.52
0.06	0.53
0.06	0.54
0.06	0.55
0.06	0.56
0.06	0.57
0.06	0.58
0.06	0.59
0.06	0.6
0.06	0.61
0.06	0.62
0.06	0.63
0.06	0.64
0.06	0.65
0.06	0.66
0.06	0.67
0.06	0.68
0.06	0.69
0.06	0.7
0.06	0.71
0.06	0.72
0.06	0.73
0.06	0.74
0.06	0.75
0.06	0.76
0.06	0.77
0.06	0.78
0.06	0.79
0.06	0.8
0.06	0.81
0.06	0.82
0.06	0.83
0.06	0.84
0.06	0.85
0.06	0.86
0.06	0.87
0.06	0.88
0.06	0.89
0.06	0.9
0.06	0.91
0.06	0.92
0.06	0.93
0.06	0.94
0.06	0.95
0.06	0.96
0.06	0.97
0.06	0.98
0.06	0.99
0.06	1.0
0.06	1.01
0.06	1.02
0.06	1.03
0.06	1.04
0.06	1.05
0.06	1.06
0.06	1.07
0.06	1.08
0.06	1.09
0.06	1.1
0.06	1.11
0.06	1.12
0.06	1.13
0.06	1.14
0.06	1.15
0.06	1.16
0.06	1.17
0.06	1.18
0.06	1.19
0.06	1.2
0.06	1.21
0.06	1.22
0.06	1.23
0.06	1.24
0.06	1.25
0.06	1.26
0.06	1.27
0.06	1.28
0.06	1.29
0.06	1.3
0.06	1.31
0.06	1.32
0.06	1.33
0.06	1.34
0.06	1.35
0.06	1.36
0.06	1.37
0.06	1.38
0.06	1.39
0.06	1.4
0.06	1.41
0.06	1.42
0.06	1.43
0.06	1.44
0.06	1.45
0.06	1.46
0.06	1.47
0.06	1.48
0.06	1.49
0.06	1.5
0.06	1.51
0.06	1.52
0.06	1.53
0.06	1.54
0.06	1.55
0.06	1.56
0.06	1.57
0.06	1.58
0.06	1.59
0.06	1.6
0.06	1.61
0.06	1.62
0.06	1.63
0.06	1.64
0.06	1.65
0.06	1.66
0.06	1.67
0.06	1.68
0.06	1.69
0.06	1.7
0.06	1.71
0.06	1.72
0.06	1.73
0.06	1.74
0.06	1.75
0.06	1.76
0.06	1.77
0.06	1.78
0.06	1.79
0.06	1.8
0.06	1.81
0.06	1.82
0.06	1.83
0.06	1.84
0.06	1.85
0.06	1.86
0.06	1.87
0.06	1.88
0.06	1.89
0.06	1.9
0.06	1.91
0.06	1.92
0.06	1.93
0.06	1.94
0.06	1.95
0.06	1.96
0.06	1.97
0.06	1.98
0.06	1.99
0.06	2.0
0.06	2.01
0.06	2.02
0.06	2.03
0.06	2.04
0.06	2.05
0.06	2.06
0.06	2.07
0.06	2.08
0.06	2.09
0.06	2.1
0.06	2.11
0.06	2.12
0.06	2.13
0.06	2.14
0.06	2.15
0.06	2.16
0.06	2.17
0.06	2.18
0.06	2.19
0.06	2.2
0.06	2.21
0.06	2.22
0.06	2.23
0.06	2.24
0.06	2.25
0.06	2.26
0.06	2.27
0.06	2.28
0.06	2.29
0.06	2.3
0.06	2.31
0.06	2.32
0.06	2.33
0.06	2.34
0.06	2.35
0.06	2.36
0.06	2.37
0.06	2.38
0.06	2.39
0.06	2.4
0.06	2.41
0.06	2.42
0.06	2.43
0.06	2.44
0.06	2.45
0.06	2.46
0.06	2.47
0.06	2.48
0.06	2.49
0.06	2.5
0.06	2.51
0.06	2.52
0.06	2.53
0.06	2.54
0.06	2.55
0.06	2.56
0.06	2.57
0.06	2.58
0.06	2.59
0.06	2.6
0.06	2.61
0.06	2.62
0.06	2.63
0.06	2.64
0.06	2.65
0.06	2.66
0.06	2.67
0.06	2.68
0.06	2.69
0.06	2.7
0.06	2.71
0.06	2.72
0.06	2.73
0.06	2.74
0.06	2.75
0.06	2.76
0.06	2.77
0.06	2.78
0.07	1.07
0.07	1.08
0.07	1.09
0.07	1.1
0.07	1.11
0.07	1.12
0.07	1.13
0.07	1.14
0.07	1.15
0.07	1.16
0.07	1.17
0.07	1.18
0.07	1.19
0.07	1.2
0.07	1.21
0.07	1.22
0.07	1.23
0.07	1.24
0.07	1.25
0.07	1.26
0.07	1.27
0.07	1.28
0.07	1.29
0.07	1.3
0.07	1.31
0.07	1.32
0.07	1.33
0.07	1.34
0.07	1.35
0.07	1.36
0.07	1.37
0.07	1.38
0.07	1.39
0.07	1.4
0.07	1.41
0.07	1.42
0.07	1.43
0.07	1.44
0.07	1.45
0.07	1.46
0.07	1.47
0.07	1.48
0.07	1.49
0.07	1.5
0.07	1.51
0.07	1.52
0.07	1.53
0.07	1.54
0.07	1.55
0.07	1.56
0.07	1.57
0.07	1.58
0.07	1.59
0.07	1.6
0.07	1.61
0.07	1.62
0.07	1.63
0.07	1.64
0.07	1.65
0.07	1.66
0.07	1.67
0.07	1.68
0.07	1.69
0.07	1.7
0.07	1.71
0.07	1.72
0.07	1.73
0.07	1.74
0.07	1.75
0.07	1.76
0.07	1.77
0.07	1.78
0.07	1.79
0.07	1.8
0.07	1.81
0.07	1.82
0.07	1.83
0.07	1.84
0.07	1.85
0.07	1.86
0.07	1.87
0.07	1.88
0.07	1.89
0.07	1.9
0.07	1.91
0.07	1.92
0.07	1.93
0.07	1.94
0.07	1.95
0.07	1.96
0.07	1.97
0.07	1.98
0.07	1.99
0.07	2.0
0.07	2.01
0.07	2.02
0.07	2.03
0.07	2.04
0.07	2.05
0.07	2.06
0.07	2.07
0.07	2.08
0.07	2.09
0.07	2.1
0.07	2.11
0.07	2.12
0.07	2.13
0.07	2.14
0.07	2.15
0.07	2.16
0.07	2.17
0.07	2.18
0.07	2.19
0.07	2.2
0.07	2.21
0.07	2.22
0.07	2.23
0.07	2.24
0.07	2.25
0.07	2.26
0.07	2.27
0.07	2.28
0.07	2.29
0.07	2.3
0.07	2.31
0.07	2.32
0.07	2.33
0.07	2.34
0.07	2.35
0.07	2.36
0.07	2.37
0.07	2.38
0.07	2.39
0.07	2.4
0.07	2.41
0.07	2.42
0.07	2.43
0.07	2.44
0.07	2.45
0.07	2.46
0.07	2.47
0.07	2.48
0.07	2.49
0.07	2.5
0.07	2.51
0.07	2.52
0.07	2.53
0.07	2.54
0.07	2.55
0.07	2.56
0.07	2.57
0.07	2.58
0.07	2.59
0.07	2.6
0.07	2.61
0.07	2.62
0.07	2.63
0.07	2.64
0.07	2.65
0.07	2.66
0.07	2.67
0.07	2.68
0.07	2.69
0.07	2.7
0.07	2.71
0.07	2.72
0.07	2.73
0.07	2.74
0.07	2.75
0.07	2.76
0.07	2.77
0.07	2.78
0.07	2.79
0.07	2.8
0.07	2.81
0.07	2.82
0.07	2.83
0.07	2.84
0.07	2.85
0.07	2.86
0.07	2.87
0.07	2.88
0.07	2.89
0.07	2.9
0.07	2.91
0.07	2.92
0.07	2.93
0.07	2.94
0.07	2.95
0.07	2.96
0.07	2.97
0.07	2.98
0.07	2.99
0.07	3.0
0.07	3.01
0.07	3.02
0.07	3.03
0.07	3.04
0.07	3.05
0.07	3.06
0.07	3.07
0.07	3.08
0.07	3.09
0.07	3.1
0.07	3.11
0.07	3.12
0.07	3.13
0.07	3.14
0.07	3.15
0.07	3.16
0.07	3.17
0.07	3.18
0.07	3.19
0.07	3.2
0.07	3.21
0.07	3.22
0.07	3.23
0.07	3.24
0.07	3.25
0.07	3.26
0.07	3.27
0.07	3.28
0.07	3.29
0.07	3.3
0.07	3.31
0.07	3.32
0.07	3.33
0.07	3.34
0.07	3.35
0.07	3.36
0.07	3.37
0.07	3.38
0.07	3.39
0.07	3.4
0.07	3.41
0.07	3.42
0.07	3.43
0.07	3.44
0.07	3.45
0.07	3.46
0.07	3.47
0.07	3.48
0.07	3.49
0.07	3.5
0.07	3.51
0.08	2.52
0.08	2.53
0.08	2.54
0.08	2.55
0.08	2.56
0.08	2.57
0.08	2.58
0.08	2.59
0.08	2.6
0.08	2.61
0.08	2.62
0.08	2.63
0.08	2.64
0.08	2.65
0.08	2.66
0.08	2.67
0.08	2.68
0.08	2.69
0.08	2.7
0.08	2.71
0.08	2.72
0.08	2.73
0.08	2.74
0.08	2.75
0.08	2.76
0.08	2.77
0.08	2.78
0.08	2.79
0.08	2.8
0.08	2.81
0.08	2.82
0.08	2.83
0.08	2.84
0.08	2.85
0.08	2.86
0.08	2.87
0.08	2.88
0.08	2.89
0.08	2.9
0.08	2.91
0.08	2.92
0.08	2.93
0.08	2.94
0.08	2.95
0.08	2.96
0.08	2.97
0.08	2.98
0.08	2.99
0.08	3.0
0.08	3.01
0.08	3.02
0.08	3.03
0.08	3.04
0.08	3.05
0.08	3.06
0.08	3.07
0.08	3.08
0.08	3.09
0.08	3.1
0.08	3.11
0.08	3.12
0.08	3.13
0.08	3.14
0.08	3.15
0.08	3.16
0.08	3.17
0.08	3.18
0.08	3.19
0.08	3.2
0.08	3.21
0.08	3.22
0.08	3.23
0.08	3.24
0.08	3.25
0.08	3.26
0.08	3.27
0.08	3.28
0.08	3.29
0.08	3.3
0.08	3.31
0.08	3.32
0.08	3.33
0.08	3.34
0.08	3.35
0.08	3.36
0.08	3.37
0.08	3.38
0.08	3.39
0.08	3.4
0.08	3.41
0.08	3.42
0.08	3.43
0.08	3.44
0.08	3.45
0.08	3.46
0.08	3.47
0.08	3.48
0.08	3.49
0.08	3.5
0.08	3.51
0.08	3.52
0.08	3.53
0.08	3.54
0.08	3.55
0.08	3.56
0.08	3.57
0.08	3.58
0.08	3.59
0.08	3.6
0.08	3.61
0.08	3.62
0.08	3.63
0.08	3.64
0.08	3.65
0.08	3.66
0.08	3.67
0.08	3.68
0.08	3.69
0.08	3.7
0.08	3.71
0.08	3.72
0.08	3.73
0.08	3.74
0.08	3.75
0.08	3.76
0.08	3.77
0.08	3.78
0.08	3.79
0.08	3.8
0.08	3.81
0.08	3.82
0.08	3.83
0.08	3.84
0.08	3.85
0.08	3.86
0.08	3.87
0.08	3.88
0.08	3.89
0.08	3.9
0.08	3.91
0.08	3.92
0.08	3.93
0.08	3.94
0.08	3.95
0.08	3.96
0.08	3.97
0.08	3.98
0.08	3.99
0.08	4.0
0.08	4.01
0.08	4.02
0.08	4.03
0.08	4.04
0.08	4.05
0.08	4.06
0.08	4.07
0.08	4.08
0.08	4.09
0.09	3.45
0.09	3.46
0.09	3.47
0.09	3.48
0.09	3.49
0.09	3.5
0.09	3.51
0.09	3.52
0.09	3.53
0.09	3.54
0.09	3.55
0.09	3.56
0.09	3.57
0.09	3.58
0.09	3.59
0.09	3.6
0.09	3.61
0.09	3.62
0.09	3.63
0.09	3.64
0.09	3.65
0.09	3.66
0.09	3.67
0.09	3.68
0.09	3.69
0.09	3.7
0.09	3.71
0.09	3.72
0.09	3.73
0.09	3.74
0.09	3.75
0.09	3.76
0.09	3.77
0.09	3.78
0.09	3.79
0.09	3.8
0.09	3.81
0.09	3.82
0.09	3.83
0.09	3.84
0.09	3.85
0.09	3.86
0.09	3.87
0.09	3.88
0.09	3.89
0.09	3.9
0.09	3.91
0.09	3.92
0.09	3.93
0.09	3.94
0.09	3.95
0.09	3.96
0.09	3.97
0.09	3.98
0.09	3.99
0.09	4.0
0.09	4.01
0.09	4.02
0.09	4.03
0.09	4.04
0.09	4.05
0.09	4.06
0.09	4.07
0.09	4.08
0.09	4.09
0.09	4.1
0.09	4.11
0.09	4.12
0.09	4.13
0.09	4.14
0.09	4.15
0.09	4.16
0.09	4.17
0.09	4.18
0.09	4.19
0.09	4.2
0.09	4.21
0.09	4.22
0.09	4.23
0.09	4.24
0.09	4.25
0.09	4.26
0.09	4.27
0.09	4.28
0.09	4.29
0.09	4.3
0.09	4.31
0.09	4.32
0.09	4.33
0.09	4.34
0.09	4.35
0.09	4.36
0.09	4.37
0.09	4.38
0.09	4.39
0.09	4.4
0.09	4.41
0.09	4.42
0.09	4.43
0.09	4.44
0.09	4.45
0.09	4.46
0.09	4.47
0.09	4.48
0.09	4.49
0.09	4.5
0.09	4.51
0.09	4.52
0.09	4.53
0.09	4.54
0.09	4.55
0.09	4.56
0.09	4.57
0.09	4.58
0.1	4.17
0.1	4.18
0.1	4.19
0.1	4.2
0.1	4.21
0.1	4.22
0.1	4.23
0.1	4.24
0.1	4.25
0.1	4.26
0.1	4.27
0.1	4.28
0.1	4.29
0.1	4.3
0.1	4.31
0.1	4.32
0.1	4.33
0.1	4.34
0.1	4.35
0.1	4.36
0.1	4.37
0.1	4.38
0.1	4.39
0.1	4.4
0.1	4.41
0.1	4.42
0.1	4.43
0.1	4.44
0.1	4.45
0.1	4.46
0.1	4.47
0.1	4.48
0.1	4.49
0.1	4.5
0.1	4.51
0.1	4.52
0.1	4.53
0.1	4.54
0.1	4.55
0.1	4.56
0.1	4.57
0.1	4.58
0.1	4.59
0.1	4.6
0.1	4.61
0.1	4.62
0.1	4.63
0.1	4.64
0.1	4.65
0.1	4.66
0.1	4.67
0.1	4.68
0.1	4.69
0.1	4.7
0.1	4.71
0.1	4.72
0.1	4.73
0.1	4.74
0.1	4.75
0.1	4.76
0.1	4.77
0.1	4.78
0.1	4.79
0.1	4.8
0.1	4.81
0.1	4.82
0.1	4.83
0.1	4.84
0.1	4.85
0.1	4.86
0.1	4.87
0.1	4.88
0.1	4.89
0.1	4.9
0.1	4.91
0.1	4.92
0.1	4.93
0.1	4.94
0.1	4.95
0.1	4.96
0.1	4.97
0.1	4.98
0.1	4.99
0.1	5.0
0.1	5.01
0.1	5.02
0.11	4.71
0.11	4.72
0.11	4.73
0.11	4.74
0.11	4.75
0.11	4.76
0.11	4.77
0.11	4.78
0.11	4.79
0.11	4.8
0.11	4.81
0.11	4.82
0.11	4.83
0.11	4.84
0.11	4.85
0.11	4.86
0.11	4.87
0.11	4.88
0.11	4.89
0.11	4.9
0.11	4.91
0.11	4.92
0.11	4.93
0.11	4.94
0.11	4.95
0.11	4.96
0.11	4.97
0.11	4.98
0.11	4.99
0.11	5.0
0.11	5.01
0.11	5.02
0.11	5.03
0.11	5.04
0.11	5.05
0.11	5.06
0.11	5.07
0.11	5.08
0.11	5.09
0.11	5.1
0.11	5.11
0.11	5.12
0.11	5.13
0.11	5.14
0.11	5.15
0.11	5.16
0.11	5.17
0.11	5.18
0.11	5.19
0.11	5.2
0.11	5.21
0.11	5.22
0.11	5.23
0.11	5.24
0.11	5.25
0.11	5.26
0.11	5.27
0.11	5.28
0.11	5.29
0.11	5.3
0.11	5.31
0.11	5.32
0.11	5.33
0.11	5.34
0.11	5.35
0.12	5.17
0.12	5.18
0.12	5.19
0.12	5.2
0.12	5.21
0.12	5.22
0.12	5.23
0.12	5.24
0.12	5.25
0.12	5.26
0.12	5.27
0.12	5.28
0.12	5.29
0.12	5.3
0.12	5.31
0.12	5.32
0.12	5.33
0.12	5.34
0.12	5.35
0.12	5.36
0.12	5.37
0.12	5.38
0.12	5.39
0.12	5.4
0.12	5.41
0.12	5.42
0.12	5.43
0.12	5.44
0.12	5.45
0.12	5.46
0.12	5.47
0.12	5.48
0.12	5.49
0.12	5.5
0.12	5.51
0.12	5.52
0.12	5.53
0.12	5.54
0.12	5.55
0.12	5.56
0.12	5.57
0.12	5.58
0.12	5.59
0.12	5.6
0.12	5.61
0.12	5.62
0.12	5.63
0.12	5.64
0.12	5.65
0.12	5.66
0.12	5.67
0.12	5.68
0.12	5.69
0.13	5.54
0.13	5.55
0.13	5.56
0.13	5.57
0.13	5.58
0.13	5.59
0.13	5.6
0.13	5.61
0.13	5.62
0.13	5.63
0.13	5.64
0.13	5.65
0.13	5.66
0.13	5.67
0.13	5.68
0.13	5.69
0.13	5.7
0.13	5.71
0.13	5.72
0.13	5.73
0.13	5.74
0.13	5.75
0.13	5.76
0.13	5.77
0.13	5.78
0.13	5.79
0.13	5.8
0.13	5.81
0.13	5.82
0.13	5.83
0.13	5.84
0.13	5.85
0.13	5.86
0.13	5.87
0.13	5.88
0.13	5.89
0.13	5.9
0.13	5.91
0.13	5.92
0.13	5.93
0.13	5.94
0.13	5.95
0.13	5.96
0.13	5.97
0.14	5.86
0.14	5.87
0.14	5.88
0.14	5.89
0.14	5.9
0.14	5.91
0.14	5.92
0.14	5.93
0.14	5.94
0.14	5.95
0.14	5.96
0.14	5.97
0.14	5.98
0.14	5.99
0.14	6.0
0.14	6.01
0.14	6.02
0.14	6.03
0.14	6.04
0.14	6.05
0.14	6.06
0.14	6.07
0.14	6.08
0.14	6.09
0.14	6.1
0.14	6.11
0.14	6.12
0.14	6.13
0.14	6.14
0.14	6.15
0.14	6.16
0.14	6.17
0.14	6.18
0.14	6.19
0.14	6.2
0.14	6.21
0.14	6.22
0.15	6.14
0.15	6.15
0.15	6.16
0.15	6.17
0.15	6.18
0.15	6.19
0.15	6.2
0.15	6.21
0.15	6.22
0.15	6.23
0.15	6.24
0.15	6.25
0.15	6.26
0.15	6.27
0.15	6.28
0.15	6.29
0.15	6.3
0.15	6.31
0.15	6.32
0.15	6.33
0.15	6.34
0.15	6.35
0.15	6.36
0.15	6.37
0.15	6.38
0.15	6.39
0.15	6.4
0.15	6.41
0.15	6.42
0.15	6.43
0.16	6.37
0.16	6.38
0.16	6.39
0.16	6.4
0.16	6.41
0.16	6.42
0.16	6.43
0.16	6.44
0.16	6.45
0.16	6.46
0.16	6.47
0.16	6.48
0.16	6.49
0.16	6.5
0.16	6.51
0.16	6.52
0.16	6.53
0.16	6.54
0.16	6.55
0.16	6.56
0.16	6.57
0.16	6.58
0.16	6.59
0.16	6.6
0.16	6.61
0.16	6.62
0.16	6.63
0.16	6.64
0.17	6.6
0.17	6.61
0.17	6.62
0.17	6.63
0.17	6.64
0.17	6.65
0.17	6.66
0.17	6.67
0.17	6.68
0.17	6.69
0.17	6.7
0.17	6.71
0.17	6.72
0.17	6.73
0.17	6.74
0.17	6.75
0.17	6.76
0.17	6.77
0.17	6.78
0.17	6.79
0.17	6.8
0.18	6.78
0.18	6.79
0.18	6.8
0.18	6.81
0.18	6.82
0.18	6.83
0.18	6.84
0.18	6.85
0.18	6.86
0.18	6.87
0.18	6.88
0.18	6.89
0.18	6.9
0.18	6.91
0.18	6.92
0.18	6.93
0.18	6.94
0.18	6.95
0.18	6.96
0.18	6.97
0.18	6.98
0.19	6.96
0.19	6.97
0.19	6.98
0.19	6.99
0.19	7.0
0.19	7.01
0.19	7.02
0.19	7.03
0.19	7.04
0.19	7.05
0.19	7.06
0.19	7.07
0.19	7.08
0.19	7.09
0.19	7.1
0.19	7.11
0.19	7.12
0.2	7.12
0.2	7.13
0.2	7.14
0.2	7.15
0.2	7.16
0.2	7.17
0.2	7.18
0.2	7.19
0.2	7.2
0.2	7.21
0.2	7.22
0.2	7.23
0.2	7.24
0.2	7.25
0.2	7.26
0.2	7.27
0.21	7.25
0.21	7.26
0.21	7.27
0.21	7.28
0.21	7.29
0.21	7.3
0.21	7.31
0.21	7.32
0.21	7.33
0.21	7.34
0.21	7.35
0.21	7.36
0.21	7.37
0.21	7.38
0.21	7.39
0.22	7.39
0.22	7.4
0.22	7.41
0.22	7.42
0.22	7.43
0.22	7.44
0.22	7.45
0.22	7.46
0.22	7.47
0.22	7.48
0.22	7.49
0.22	7.5
0.23	7.51
0.23	7.52
0.23	7.53
0.23	7.54
0.23	7.55
0.23	7.56
0.23	7.57
0.23	7.58
0.23	7.59
0.23	7.6
0.23	7.61
0.23	7.62
0.24	7.62
0.24	7.63
0.24	7.64
0.24	7.65
0.24	7.66
0.24	7.67
0.24	7.68
0.24	7.69
0.24	7.7
0.24	7.71
0.24	7.72
0.25	7.73
0.25	7.74
0.25	7.75
0.25	7.76
0.25	7.77
0.25	7.78
0.25	7.79
0.25	7.8
0.25	7.81
0.26	7.83
0.26	7.84
0.26	7.85
0.26	7.86
0.26	7.87
0.26	7.88
0.26	7.89
0.26	7.9
0.26	7.91
0.27	7.91
0.27	7.92
0.27	7.93
0.27	7.94
0.27	7.95
0.27	7.96
0.27	7.97
0.27	7.98
0.27	7.99
0.28	8.0
0.28	8.01
0.28	8.02
0.28	8.03
0.28	8.04
0.28	8.05
0.28	8.06
0.29	8.08
0.29	8.09
0.29	8.1
0.29	8.11
0.29	8.12
0.29	8.13
0.29	8.14
0.3	8.15
0.3	8.16
0.3	8.17
0.3	8.18
0.3	8.19
0.3	8.2
0.3	8.21
0.31	8.22
0.31	8.23
0.31	8.24
0.31	8.25
0.31	8.26
0.31	8.27
0.31	8.28
0.32	8.29
0.32	8.3
0.32	8.31
0.32	8.32
0.32	8.33
0.32	8.34
0.33	8.35
0.33	8.36
0.33	8.37
0.33	8.38
0.33	8.39
0.33	8.4
0.34	8.41
0.34	8.42
0.34	8.43
0.34	8.44
0.34	8.45
0.34	8.46
0.35	8.47
0.35	8.48
0.35	8.49
0.35	8.5
0.35	8.51
0.36	8.52
0.36	8.53
0.36	8.54
0.36	8.55
0.36	8.56
0.37	8.57
0.37	8.58
0.37	8.59
0.37	8.6
0.37	8.61
0.38	8.62
0.38	8.63
0.38	8.64
0.38	8.65
0.39	8.66
0.39	8.67
0.39	8.68
0.39	8.69
0.4	8.71
0.4	8.72
0.4	8.73
0.41	8.74
0.41	8.75
0.41	8.76
0.41	8.77
0.42	8.78
0.42	8.79
0.42	8.8
0.43	8.82
0.43	8.83
0.43	8.84
0.44	8.85
0.44	8.86
0.44	8.87
0.45	8.88
0.45	8.89
0.45	8.9
0.46	8.91
0.46	8.92
0.47	8.94
0.47	8.95
0.48	8.96
0.48	8.97
0.49	8.98
0.49	8.99
0.5	9.0
0.5	9.01
0.51	9.02
0.51	9.03
0.52	9.04
0.52	9.05
0.53	9.05
0.53	9.06
0.54	9.07
0.55	9.08
0.55	9.09
0.56	9.1
0.57	9.11
0.57	9.12
0.58	9.12
0.58	9.13
0.59	9.13
0.59	9.14
0.6	9.15
0.61	9.16
0.62	9.17
0.63	9.18
0.64	9.19
0.65	9.2
0.65	9.21
0.66	9.21
0.67	9.22
0.67	9.23
0.68	9.23
0.68	9.24
0.69	9.24
0.69	9.25
0.7	9.25
0.7	9.26
0.71	9.26
0.71	9.27
0.72	9.27
0.72	9.28
0.73	9.28
0.74	9.29
0.74	9.3
0.75	9.3
0.76	9.31
0.77	9.32
0.78	9.33
0.79	9.34
0.8	9.35
0.81	9.36
0.82	9.37
0.83	9.38
0.84	9.39
0.85	9.4
0.86	9.41
0.87	9.42
0.88	9.42
0.88	9.43
0.89	9.44
0.9	9.44
0.91	9.45
0.92	9.46
0.93	9.47
0.94	9.48
0.95	9.49
0.96	9.5
0.97	9.51
0.98	9.52
0.99	9.53
