r	Gamma
0.05	0.75
0.05	0.76
0.05	0.77
0.05	0.78
0.05	0.79
0.05	0.8
0.05	0.81
0.05	0.82
0.05	0.83
0.05	0.84
0.05	0.85
0.05	0.86
0.05	0.87
0.05	0.88
0.05	0.89
0.05	0.9
0.05	0.91
0.05	0.92
0.05	0.93
0.05	0.94
0.05	0.95
0.05	0.96
0.05	0.97
0.05	0.98
0.05	0.99
0.05	1.0
0.05	1.01
0.05	1.02
0.05	1.03
0.05	1.04
0.05	1.05
0.05	1.06
0.05	1.07
0.05	1.08
0.05	1.09
0.05	1.1
0.05	1.11
0.05	1.12
0.05	1.13
0.05	1.14
0.05	1.15
0.05	1.16
0.05	1.17
0.05	1.18
0.05	1.19
0.05	1.2
0.05	1.21
0.05	1.22
0.05	1.23
0.05	1.24
0.05	1.25
0.05	1.26
0.05	1.27
0.05	1.28
0.05	1.29
0.05	1.3
0.05	1.31
0.05	1.32
0.05	1.33
0.05	1.34
0.05	1.35
0.05	1.36
0.05	1.37
0.05	1.38
0.05	1.39
0.05	1.4
0.05	1.41
0.05	1.42
0.05	1.43
0.05	1.44
0.05	1.45
0.05	1.46
0.05	1.47
0.05	1.48
0.05	1.49
0.05	1.5
0.05	1.51
0.05	1.52
0.05	1.53
0.05	1.54
0.05	1.55
0.05	1.56
0.05	1.57
0.05	1.58
0.05	1.59
0.05	1.6
0.05	1.61
0.05	1.62
0.05	1.63
0.05	1.64
0.05	1.65
0.05	1.66
0.05	1.67
0.05	1.68
0.05	1.69
0.05	1.7
0.05	1.71
0.05	1.72
0.05	1.73
0.05	1.74
0.05	1.75
0.05	1.76
0.05	1.77
0.05	1.78
0.05	1.79
0.05	1.8
0.05	1.81
0.05	1.82
0.05	1.83
0.05	1.84
0.05	1.85
0.05	1.86
0.05	1.87
0.05	1.88
0.05	1.89
0.05	1.9
0.05	1.91
0.05	1.92
0.05	1.93
0.05	1.94
0.05	1.95
0.05	1.96
0.05	1.97
0.05	1.98
0.05	1.99
0.05	2.0
0.05	2.01
0.05	2.02
0.05	2.03
0.05	2.04
0.05	2.05
0.05	2.06
0.05	2.07
0.05	2.08
0.05	2.09
0.05	2.1
0.05	2.11
0.05	2.12
0.05	2.13
0.05	2.14
0.05	2.15
0.05	2.16
0.05	2.17
0.05	2.18
0.05	2.19
0.05	2.2
0.05	2.21
0.05	2.22
0.05	2.23
0.05	2.24
0.05	2.25
0.05	2.26
0.05	2.27
0.05	2.28
0.05	2.29
0.05	2.3
0.05	2.31
0.05	2.32
0.05	2.33
0.05	2.34
0.05	2.35
0.05	2.36
0.05	2.37
0.05	2.38
0.05	2.39
0.05	2.4
0.05	2.41
0.05	2.42
0.05	2.43
0.05	2.44
0.05	2.45
0.05	2.46
0.05	2.47
0.05	2.48
0.05	2.49
0.05	2.5
0.05	2.51
0.05	2.52
0.05	2.53
0.05	2.54
0.05	2.55
0.05	2.56
0.05	2.57
0.05	2.58
0.05	2.59
0.05	2.6
0.05	2.61
0.05	2.62
0.05	2.63
0.05	2.64
0.05	2.65
0.05	2.66
0.05	2.67
0.05	2.68
0.05	2.69
0.05	2.7
0.05	2.71
0.05	2.72
0.05	2.73
0.05	2.74
0.05	2.75
0.05	2.76
0.05	2.77
0.05	2.78
0.05	2.79
0.05	2.8
0.05	2.81
0.05	2.82
0.05	2.83
0.05	2.84
0.05	2.85
0.05	2.86
0.05	2.87
0.05	2.88
0.05	2.89
0.05	2.9
0.05	2.91
0.05	2.92
0.05	2.93
0.05	2.94
0.05	2.95
0.05	2.96
0.05	2.97
0.05	2.98
0.05	2.99
0.05	3.0
0.05	3.01
0.05	3.02
0.05	3.03
0.05	3.04
0.05	3.05
0.05	3.06
0.05	3.07
0.05	3.08
0.05	3.09
0.05	3.1
0.05	3.11
0.05	3.12
0.05	3.13
0.05	3.14
0.05	3.15
0.05	3.16
0.05	3.17
0.05	3.18
0.05	3.19
0.05	3.2
0.05	3.21
0.05	3.22
0.05	3.23
0.06	2.37
0.06	2.38
0.06	2.39
0.06	2.4
0.06	2.41
0.06	2.42
0.06	2.43
0.06	2.44
0.06	2.45
0.06	2.46
0.06	2.47
0.06	2.48
0.06	2.49
0.06	2.5
0.06	2.51
0.06	2.52
0.06	2.53
0.06	2.54
0.06	2.55
0.06	2.56
0.06	2.57
0.06	2.58
0.06	2.59
0.06	2.6
0.06	2.61
0.06	2.62
0.06	2.63
0.06	2.64
0.06	2.65
0.06	2.66
0.06	2.67
0.06	2.68
0.06	2.69
0.06	2.7
0.06	2.71
0.06	2.72
0.06	2.73
0.06	2.74
0.06	2.75
0.06	2.76
0.06	2.77
0.06	2.78
0.06	2.79
0.06	2.8
0.06	2.81
0.06	2.82
0.06	2.83
0.06	2.84
0.06	2.85
0.06	2.86
0.06	2.87
0.06	2.88
0.06	2.89
0.06	2.9
0.06	2.91
0.06	2.92
0.06	2.93
0.06	2.94
0.06	2.95
0.06	2.96
0.06	2.97
0.06	2.98
0.06	2.99
0.06	3.0
0.06	3.01
0.06	3.02
0.06	3.03
0.06	3.04
0.06	3.05
0.06	3.06
0.06	3.07
0.06	3.08
0.06	3.09
0.06	3.1
0.06	3.11
0.06	3.12
0.06	3.13
0.06	3.14
0.06	3.15
0.06	3.16
0.06	3.17
0.06	3.18
0.06	3.19
0.06	3.2
0.06	3.21
0.06	3.22
0.06	3.23
0.06	3.24
0.06	3.25
0.06	3.26
0.06	3.27
0.06	3.28
0.06	3.29
0.06	3.3
0.06	3.31
0.06	3.32
0.06	3.33
0.06	3.34
0.06	3.35
0.06	3.36
0.06	3.37
0.06	3.38
0.06	3.39
0.06	3.4
0.06	3.41
0.06	3.42
0.06	3.43
0.06	3.44
0.06	3.45
0.06	3.46
0.06	3.47
0.06	3.48
0.06	3.49
0.06	3.5
0.06	3.51
0.06	3.52
0.06	3.53
0.06	3.54
0.06	3.55
0.06	3.56
0.06	3.57
0.06	3.58
0.06	3.59
0.06	3.6
0.06	3.61
0.06	3.62
0.06	3.63
0.06	3.64
0.06	3.65
0.06	3.66
0.06	3.67
0.06	3.68
0.06	3.69
0.06	3.7
0.06	3.71
0.06	3.72
0.06	3.73
0.06	3.74
0.06	3.75
0.06	3.76
0.06	3.77
0.06	3.78
0.06	3.79
0.06	3.8
0.06	3.81
0.06	3.82
0.06	3.83
0.06	3.84
0.06	3.85
0.06	3.86
0.06	3.87
0.06	3.88
0.06	3.89
0.06	3.9
0.06	3.91
0.06	3.92
0.06	3.93
0.06	3.94
0.06	3.95
0.06	3.96
0.06	3.97
0.06	3.98
0.06	3.99
0.06	4.0
0.06	4.01
0.06	4.02
0.06	4.03
0.06	4.04
0.06	4.05
0.07	3.61
0.07	3.62
0.07	3.63
0.07	3.64
0.07	3.65
0.07	3.66
0.07	3.67
0.07	3.68
0.07	3.69
0.07	3.7
0.07	3.71
0.07	3.72
0.07	3.73
0.07	3.74
0.07	3.75
0.07	3.76
0.07	3.77
0.07	3.78
0.07	3.79
0.07	3.8
0.07	3.81
0.07	3.82
0.07	3.83
0.07	3.84
0.07	3.85
0.07	3.86
0.07	3.87
0.07	3.88
0.07	3.89
0.07	3.9
0.07	3.91
0.07	3.92
0.07	3.93
0.07	3.94
0.07	3.95
0.07	3.96
0.07	3.97
0.07	3.98
0.07	3.99
0.07	4.0
0.07	4.01
0.07	4.02
0.07	4.03
0.07	4.04
0.07	4.05
0.07	4.06
0.07	4.07
0.07	4.08
0.07	4.09
0.07	4.1
0.07	4.11
0.07	4.12
0.07	4.13
0.07	4.14
0.07	4.15
0.07	4.16
0.07	4.17
0.07	4.18
0.07	4.19
0.07	4.2
0.07	4.21
0.07	4.22
0.07	4.23
0.07	4.24
0.07	4.25
0.07	4.26
0.07	4.27
0.07	4.28
0.07	4.29
0.07	4.3
0.07	4.31
0.07	4.32
0.07	4.33
0.07	4.34
0.07	4.35
0.07	4.36
0.07	4.37
0.07	4.38
0.07	4.39
0.07	4.4
0.07	4.41
0.07	4.42
0.07	4.43
0.07	4.44
0.07	4.45
0.07	4.46
0.07	4.47
0.07	4.48
0.07	4.49
0.07	4.5
0.07	4.51
0.07	4.52
0.07	4.53
0.07	4.54
0.07	4.55
0.07	4.56
0.07	4.57
0.07	4.58
0.07	4.59
0.07	4.6
0.07	4.61
0.07	4.62
0.07	4.63
0.07	4.64
0.07	4.65
0.07	4.66
0.07	4.67
0.07	4.68
0.07	4.69
0.08	4.46
0.08	4.47
0.08	4.48
0.08	4.49
0.08	4.5
0.08	4.51
0.08	4.52
0.08	4.53
0.08	4.54
0.08	4.55
0.08	4.56
0.08	4.57
0.08	4.58
0.08	4.59
0.08	4.6
0.08	4.61
0.08	4.62
0.08	4.63
0.08	4.64
0.08	4.65
0.08	4.66
0.08	4.67
0.08	4.68
0.08	4.69
0.08	4.7
0.08	4.71
0.08	4.72
0.08	4.73
0.08	4.74
0.08	4.75
0.08	4.76
0.08	4.77
0.08	4.78
0.08	4.79
0.08	4.8
0.08	4.81
0.08	4.82
0.08	4.83
0.08	4.84
0.08	4.85
0.08	4.86
0.08	4.87
0.08	4.88
0.08	4.89
0.08	4.9
0.08	4.91
0.08	4.92
0.08	4.93
0.08	4.94
0.08	4.95
0.08	4.96
0.08	4.97
0.08	4.98
0.08	4.99
0.08	5.0
0.08	5.01
0.08	5.02
0.08	5.03
0.08	5.04
0.08	5.05
0.08	5.06
0.08	5.07
0.08	5.08
0.08	5.09
0.08	5.1
0.08	5.11
0.08	5.12
0.08	5.13
0.08	5.14
0.08	5.15
0.08	5.16
0.08	5.17
0.08	5.18
0.08	5.19
0.08	5.2
0.08	5.21
0.08	5.22
0.09	5.1
0.09	5.11
0.09	5.12
0.09	5.13
0.09	5.14
0.09	5.15
0.09	5.16
0.09	5.17
0.09	5.18
0.09	5.19
0.09	5.2
0.09	5.21
0.09	5.22
0.09	5.23
0.09	5.24
0.09	5.25
0.09	5.26
0.09	5.27
0.09	5.28
0.09	5.29
0.09	5.3
0.09	5.31
0.09	5.32
0.09	5.33
0.09	5.34
0.09	5.35
0.09	5.36
0.09	5.37
0.09	5.38
0.09	5.39
0.09	5.4
0.09	5.41
0.09	5.42
0.09	5.43
0.09	5.44
0.09	5.45
0.09	5.46
0.09	5.47
0.09	5.48
0.09	5.49
0.09	5.5
0.09	5.51
0.09	5.52
0.09	5.53
0.09	5.54
0.09	5.55
0.09	5.56
0.09	5.57
0.09	5.58
0.09	5.59
0.09	5.6
0.09	5.61
0.09	5.62
0.09	5.63
0.09	5.64
0.09	5.65
0.1	5.59
0.1	5.6
0.1	5.61
0.1	5.62
0.1	5.63
0.1	5.64
0.1	5.65
0.1	5.66
0.1	5.67
0.1	5.68
0.1	5.69
0.1	5.7
0.1	5.71
0.1	5.72
0.1	5.73
0.1	5.74
0.1	5.75
0.1	5.76
0.1	5.77
0.1	5.78
0.1	5.79
0.1	5.8
0.1	5.81
0.1	5.82
0.1	5.83
0.1	5.84
0.1	5.85
0.1	5.86
0.1	5.87
0.1	5.88
0.1	5.89
0.1	5.9
0.1	5.91
0.1	5.92
0.1	5.93
0.1	5.94
0.1	5.95
0.1	5.96
0.1	5.97
0.1	5.98
0.1	5.99
0.1	6.0
0.1	6.01
0.11	6.0
0.11	6.01
0.11	6.02
0.11	6.03
0.11	6.04
0.11	6.05
0.11	6.06
0.11	6.07
0.11	6.08
0.11	6.09
0.11	6.1
0.11	6.11
0.11	6.12
0.11	6.13
0.11	6.14
0.11	6.15
0.11	6.16
0.11	6.17
0.11	6.18
0.11	6.19
0.11	6.2
0.11	6.21
0.11	6.22
0.11	6.23
0.11	6.24
0.11	6.25
0.11	6.26
0.11	6.27
0.11	6.28
0.11	6.29
0.11	6.3
0.11	6.31
0.11	6.32
0.11	6.33
0.12	6.33
0.12	6.34
0.12	6.35
0.12	6.36
0.12	6.37
0.12	6.38
0.12	6.39
0.12	6.4
0.12	6.41
0.12	6.42
0.12	6.43
0.12	6.44
0.12	6.45
0.12	6.46
0.12	6.47
0.12	6.48
0.12	6.49
0.12	6.5
0.12	6.51
0.12	6.52
0.12	6.53
0.12	6.54
0.12	6.55
0.12	6.56
0.12	6.57
0.12	6.58
0.12	6.59
0.12	6.6
0.13	6.61
0.13	6.62
0.13	6.63
0.13	6.64
0.13	6.65
0.13	6.66
0.13	6.67
0.13	6.68
0.13	6.69
0.13	6.7
0.13	6.71
0.13	6.72
0.13	6.73
0.13	6.74
0.13	6.75
0.13	6.76
0.13	6.77
0.13	6.78
0.13	6.79
0.13	6.8
0.13	6.81
0.13	6.82
0.13	6.83
0.14	6.86
0.14	6.87
0.14	6.88
0.14	6.89
0.14	6.9
0.14	6.91
0.14	6.92
0.14	6.93
0.14	6.94
0.14	6.95
0.14	6.96
0.14	6.97
0.14	6.98
0.14	6.99
0.14	7.0
0.14	7.01
0.14	7.02
0.14	7.03
0.14	7.04
0.15	7.07
0.15	7.08
0.15	7.09
0.15	7.1
0.15	7.11
0.15	7.12
0.15	7.13
0.15	7.14
0.15	7.15
0.15	7.16
0.15	7.17
0.15	7.18
0.15	7.19
0.15	7.2
0.15	7.21
0.15	7.22
0.15	7.23
0.16	7.26
0.16	7.27
0.16	7.28
0.16	7.29
0.16	7.3
0.16	7.31
0.16	7.32
0.16	7.33
0.16	7.34
0.16	7.35
0.16	7.36
0.16	7.37
0.16	7.38
0.16	7.39
0.16	7.4
0.17	7.43
0.17	7.44
0.17	7.45
0.17	7.46
0.17	7.47
0.17	7.48
0.17	7.49
0.17	7.5
0.17	7.51
0.17	7.52
0.17	7.53
0.17	7.54
0.17	7.55
0.18	7.59
0.18	7.6
0.18	7.61
0.18	7.62
0.18	7.63
0.18	7.64
0.18	7.65
0.18	7.66
0.18	7.67
0.18	7.68
0.18	7.69
0.19	7.73
0.19	7.74
0.19	7.75
0.19	7.76
0.19	7.77
0.19	7.78
0.19	7.79
0.19	7.8
0.19	7.81
0.2	7.85
0.2	7.86
0.2	7.87
0.2	7.88
0.2	7.89
0.2	7.9
0.2	7.91
0.2	7.92
0.2	7.93
0.21	7.97
0.21	7.98
0.21	7.99
0.21	8.0
0.21	8.01
0.21	8.02
0.21	8.03
0.21	8.04
0.22	8.07
0.22	8.08
0.22	8.09
0.22	8.1
0.22	8.11
0.22	8.12
0.22	8.13
0.22	8.14
0.23	8.17
0.23	8.18
0.23	8.19
0.23	8.2
0.23	8.21
0.23	8.22
0.23	8.23
0.24	8.26
0.24	8.27
0.24	8.28
0.24	8.29
0.24	8.3
0.24	8.31
0.25	8.35
0.25	8.36
0.25	8.37
0.25	8.38
0.25	8.39
0.26	8.42
0.26	8.43
0.26	8.44
0.26	8.45
0.26	8.46
0.27	8.49
0.27	8.5
0.27	8.51
0.27	8.52
0.27	8.53
0.28	8.56
0.28	8.57
0.28	8.58
0.28	8.59
0.28	8.6
0.29	8.62
0.29	8.63
0.29	8.64
0.29	8.65
0.3	8.68
0.3	8.69
0.3	8.7
0.3	8.71
0.31	8.73
0.31	8.74
0.31	8.75
0.31	8.76
0.32	8.78
0.32	8.79
0.32	8.8
0.32	8.81
0.33	8.83
0.33	8.84
0.33	8.85
0.34	8.87
0.34	8.88
0.34	8.89
0.35	8.91
0.35	8.92
0.35	8.93
0.36	8.94
0.36	8.95
0.36	8.96
0.37	8.98
0.37	8.99
0.38	9.0
0.38	9.01
0.39	9.03
0.39	9.04
0.4	9.05
0.4	9.06
0.41	9.07
0.41	9.08
0.42	9.09
0.43	9.1
0.43	9.11
0.44	9.12
0.44	9.13
0.45	9.14
0.46	9.15
0.46	9.16
0.47	9.17
0.48	9.18
0.48	9.19
0.49	9.2
0.5	9.21
0.51	9.22
0.51	9.23
0.52	9.24
0.53	9.25
0.54	9.26
0.54	9.27
0.55	9.28
0.56	9.29
0.57	9.3
0.58	9.32
0.59	9.33
0.6	9.34
0.61	9.35
0.62	9.36
0.62	9.37
0.63	9.38
0.64	9.39
0.65	9.4
0.66	9.41
0.67	9.43
0.68	9.44
0.69	9.45
0.7	9.46
0.71	9.47
0.72	9.49
0.73	9.5
0.74	9.51
0.75	9.52
0.76	9.53
0.77	9.55
0.78	9.56
0.79	9.57
0.8	9.58
0.81	9.6
0.82	9.61
0.83	9.62
0.84	9.63
0.85	9.64
0.86	9.65
0.87	9.66
0.88	9.67
0.89	9.68
0.9	9.69
0.91	9.69
0.92	9.7
0.93	9.71
0.95	9.72
0.96	9.73
0.97	9.73
0.98	9.74
0.99	9.74
